Position Label,Beacon 1,RSS 1,Beacon 2,RSS 2,Beacon 3,RSS 3,Beacon 4,RSS 4,Beacon 5,RSS 5,Beacon 6,RSS 6,Beacon 7,RSS 7,Beacon 8,RSS 8
100,0.22,-0.595,0.12,-0.72,0.6,-0.678,0.2,-0.609,0.209,-0.551,0.14,-0.687,0.15,-0.734,0.1844,-0.715
100,0.22,-0.688,0.12,-0.625,0.6,-0.766,0.2,-0.744,0.209,-0.645,0.14,-0.592,0.15,-0.624,0.1844,-0.577
100,0.22,-0.601,0.12,-0.591,0.6,-0.643,0.2,-0.584,0.209,-0.607,0.14,-0.677,0.15,-0.654,0.1844,-0.665
100,0.22,-0.565,0.12,-0.59,0.6,-0.578,0.2,-0.601,0.209,-0.617,0.14,-0.712,0.15,-0.65,0.1844,-0.688
100,0.22,-0.557,0.12,-0.663,0.6,-0.601,0.2,-0.64,0.209,-0.632,0.14,-0.715,0.15,-0.645,0.1844,-0.693
100,0.22,-0.591,0.12,-0.691,0.6,-0.682,0.2,-0.608,0.209,-0.536,0.14,-0.705,0.15,-0.705,0.1844,-0.674
100,0.22,-0.7,0.12,-0.506,0.6,-0.757,0.2,-0.748,0.209,-0.68,0.14,-0.636,0.15,-0.621,0.1844,-0.606
100,0.22,-0.486,0.12,-0.628,0.6,-0.616,0.2,-0.674,0.209,-0.647,0.14,-0.692,0.15,-0.664,0.1844,-0.685
100,0.22,-0.668,0.12,-0.642,0.6,-0.78,0.2,-0.781,0.209,-0.683,0.14,-0.699,0.15,-0.59,0.1844,-0.629
100,0.22,-0.568,0.12,-0.612,0.6,-0.589,0.2,-0.614,0.209,-0.666,0.14,-0.719,0.15,-0.697,0.1844,-0.754
100,0.22,-0.505,0.12,-0.604,0.6,-0.584,0.2,-0.67,0.209,-0.654,0.14,-0.713,0.15,-0.658,0.1844,-0.697
100,0.22,-0.547,0.12,-0.661,0.6,-0.597,0.2,-0.634,0.209,-0.631,0.14,-0.717,0.15,-0.678,0.1844,-0.682
100,0.22,-0.67,0.12,-0.618,0.6,-0.772,0.2,-0.751,0.209,-0.691,0.14,-0.662,0.15,-0.618,0.1844,-0.612
100,0.22,-0.674,0.12,-0.633,0.6,-0.746,0.2,-0.733,0.209,-0.656,0.14,-0.61,0.15,-0.667,0.1844,-0.567
100,0.22,-0.618,0.12,-0.667,0.6,-0.715,0.2,-0.675,0.209,-0.569,0.14,-0.602,0.15,-0.669,0.1844,-0.623
100,0.22,-0.664,0.12,-0.638,0.6,-0.778,0.2,-0.757,0.209,-0.714,0.14,-0.678,0.15,-0.614,0.1844,-0.633
100,0.22,-0.524,0.12,-0.654,0.6,-0.601,0.2,-0.651,0.209,-0.635,0.14,-0.721,0.15,-0.673,0.1844,-0.693
100,0.22,-0.535,0.12,-0.598,0.6,-0.583,0.2,-0.608,0.209,-0.635,0.14,-0.699,0.15,-0.732,0.1844,-0.72
100,0.22,-0.565,0.12,-0.613,0.6,-0.603,0.2,-0.612,0.209,-0.662,0.14,-0.72,0.15,-0.696,0.1844,-0.76
100,0.22,-0.702,0.12,-0.578,0.6,-0.747,0.2,-0.719,0.209,-0.663,0.14,-0.629,0.15,-0.652,0.1844,-0.556
100,0.22,-0.669,0.12,-0.604,0.6,-0.766,0.2,-0.74,0.209,-0.672,0.14,-0.642,0.15,-0.584,0.1844,-0.6
100,0.22,-0.544,0.12,-0.649,0.6,-0.595,0.2,-0.62,0.209,-0.607,0.14,-0.684,0.15,-0.661,0.1844,-0.712
